AC;Acre;PT8
AL;Alagoas;PP7
AP;Amapá;PQ8
AM;Amazonas;PP8
BA;Bahia;PY6
CE;Ceará;PT7
DF;Distrito Federal;PT2
ES;Espírito Santo;PP1
GO;Goiás;PP2
MA;Maranhão;PR8
MT;Mato Grosso;PY9
MS;Mato Grosso do Sul;PT9
MG;Minas Gerais;PY4
PA;Pará;PY8
PB;Paraíba;PR7
PR;Paraná;PY5
PE;Pernambuco;PY7
PI;Piauí;PS8
RJ;Rio de Janeiro;PY1
RN;Rio Grande do Norte;RS7
RS;Rio Grande do Sul;PY3
RO;Rondônia;PW8
RR;Roraima;PV8
SC;Santa Catarina;PP5
SP;São Paulo;PY2
SE;Sergipe;PP6
TO;Tocantins;PQ2
