B;Lubus (SP3)
C;Lódź (SP7)
D;Lower Silesia (SP6)
F;Pomerania  (SP2)
G;Silesia (SP9)
J;Warmia-Masuria (SP4)
K;Subcarpathia (SP8)
L;Lublin (SP8)
M;Lesser Poland (SP9)
O;Podlasie (SP4)
P;Kuyavia-Pomerania (SP2)
R;Masovia (SP5)
S;Holy Cross (SP7)
U;Opole (SP6)
W;Greater Poland (SP3)
Z;West Pomerania (SP1)
