(KO1, 1-2 pts);K01
(K20, 1-2 pts);K20
(K31, 1-2 pts);K31
(K36, 1-2 pts);K36
(K45, 1-2 pts);K45
(K47, 1-2 pts);K47
(K48, 1-2 pts);K48
(K51, 1-2 pts);K51
(K34, 3 pts);K34
(K34, 5 pts);DL0DAU,DF0DA,DL0WV,DL0FFF,DK0MWR,DK0SOTA,DL0NBR,DL0VEK,DR50BUND,DL1965WH,DR60NATO
