Ski;LA0GN,LA0HW,LA1FLS,LA1GOA,LA1IIA,LA1NMA,LA1YBA,LA1YP,LA2AIA,LA2DBA,LA2FH,LA2FLA,LA2IO,LA2TD,LA2YHA,LA3BLA,LA3NCA,LA3WG,LA3YI,LA3ZW,LA4AUA,LA4JCA,LA4NKA,LA4UC,LA4XT,LA5ANA,LA5BH,LA5BNA,LA5CNA,LA5FN,LA5FNA,LA5HNA,LA5INA,LA5IRA,LA5KNA,LA5NK,LA5NW,LA5SNA,LA5VKA,LA5XMA,LA5YEA,LA6DU,LA6EMA,LA6FH,LA6NKA,LA6OK,LA6ZDA,LA7DS,LA7JK,LA7SG,LA8BKA,LA8EL,LA8EN,LA8IP,LA8QJA,LA8RD,LA8TK,LA8ZM,LA9FAA,LA9UM,LA9XCA,LB1OF,LB1TE,LB2IE,LB3VE,LB5OE,LB8CE,LB8ME
Ås;LA1DGA,LA1MIA,LA2VCA,LA4NAA,LA4RMA,LA5DNA,LA5ENA,LA5GNA,LA5VNA,LA5YMA,LA5ZMA,LA6AMA,LA6CMA,LA6MGA,LA6QFA,LA6QK,LA8AF,LA8INA,LA9AMA,LA9JAM,LA9KPA,LA9QLA
Frogn;LA0DT,LA1DFS,LA1FKS,LA1QV,LA3CL,LA4UMA,LA5FKA,LA5PJ,LA5PW,LA6BMA,LA6BT,LA6SP,LA7PP,LA7QTA,LA7XRA,LA8SIA,LA8SJ,LA9NT,LA9WKA,LB4T,LB5EG
Nesodden;LA1BHA,LA1TX,LA2HW,LA2XH,LA2ZDA,LA3GJ,LA6FKA,LA6LMA,LA6QV,LA7CC,LA7JPA,LA7NBA,LA7S,LA7WFA,LA8KOA,LA8PC,LA9CDA,LA9CY,LA9QMA,LB7NG
Oppegård;LA0AT,LA0EM,LA1EBA,LA1KF,LA1KZ,LA1SYL,LA1WZ,LA2DL,LA2KSA,LA2OFA,LA2VQ,LA2ZQ,LA3BI,LA3F,LA3FR,LA3GPA,LA4DW,LA4QMA,LA4YNA,LA4ZK,LA5ABA,LA5OG,LA5ON,LA5PN,LA5QX,LA5YW,LA6FI,LA6FMA,LA6FNA,LA6GMA,LA6HG,LA6HMA,LA6RHA,LA6WO,LA7BFA,LA7EU,LA7GE,LA7MO,LA7NS,LA7SLA,LA7WRA,LA7ZGA,LA7ZKA,LA8EOA,LA8FOA,LA8JJA,LA8LO,LA8NNA,LA8OG,LA9AI,LA9BA,LA9BRA,LA9KI,LA9RJ,LB2DD,LB2HF,LB8FB
Bærum;LA0AM,LA0BY,LA1CUA,LA1GM,LA1JEA,LA1PO,LA1UJ,LA1VF,LA2AB,LA2DI,LA2LRA,LA2NTA,LA2OT,LA2QG,LA2UF,LA2VS,LA2ZOA,LA3CB,LA3GHA,LA3JMA,LA3KF,LA3LHA,LA3TT,LA3VDA,LA3XC,LA3YT,LA4BSA,LA4GV,LA4HKA,LA4LKA,LA4MJ,LA4QG,LA4TGA,LA4YG,LA5FF,LA5FRA,LA5MM,LA5NC,LA5NG,LA5PA,LA5PO,LA5ULA,LA5XOA,LA5YF,LA6AJA,LA6DK,LA6GF,LA6HT,LA6IS,LA6JBA,LA6MA,LA6MOA,LA6UG,LA6XW,LA6ZF,LA6ZK,LA7AHA,LA7AJA,LA7ANA,LA7FQ,LA7FRA,LA7IU,LA7IY,LA7JNA,LA7MS,LA7MT,LA7OGA,LA7SPA,LA7TPA,LA7ZFA,LA7ZV,LA8AM,LA8DA,LA8HKA,LA8KK,LA8RH,LA8SGA,LA8SO,LA8TIA,LA8UIA,LA8XG,LA8YK,LA9CX,LA9GMA,LA9HFA,LA9ITA,LA9LP,LA9MI,LA9NEA,LA9RA,LA9RQ,LA9RTA,LA9THA,LA9WQ,LA9XU,LB1EF,LB1GD,LB1PG,LB2M,LB2ZD,LB4QD,LB5HG,LB6ED,LB7PG,LB8AG
Asker;LA0AS,LA0BL,LA0FE,LA1AV,LA1FR,LA1HJA,LA1LBA,LA1RL,LA1VV,LA2PT,LA2RL,LA2SH,LA2TF,LA2UT,LA2VW,LA2ZT,LA3HJ,LA3JPA,LA3LMA,LA3NB,LA3NS,LA3PM,LA3UKA,LA3VU,LA3WIA,LA3XUA,LA3YA,LA3ZA,LA4AW,LA4FR,LA4POA,LA4RGA,LA4SEA,LA4WQ,LA4WRA,LA5BK,LA5CSA,LA5RPA,LA5SDA,LA5XH,LA6CEA,LA6JJ,LA6QHA,LA6UBA,LA6UK,LA6VJ,LA7ALA,LA7AU,LA7CS,LA7DU,LA7EKA,LA7EY,LA7FIA,LA7NKA,LA7OT,LA7QLA,LA7RDA,LA7TM,LA7VP,LA7XJ,LA7YS,LA8BK,LA8EKA,LA8EQ,LA8LJA,LA8SOA,LA8TM,LA8VM,LA9ED,LA9EY,LA9KMA,LA9KTA,LA9LE,LA9NHA,LA9SHA,LA9TKA,LA9ZKA,LB2PG,LB4EC,LB4PE,LB6IE,LB8KG
Aurskog-Høland;LA1JCA,LA1ZZ,LA2BTA,LA2FK,LA2IT,LA3MHA,LA4IIA,LA6FSA,LA6OBA,LA6VU,LA6ZM,LA7SKA,LA9SOA,LB0J
Sørum;LA1NF,LA1NY,LA1VN,LA2SQ,LA2TUA,LA3DDA,LA4URA,LA4YCA,LA5YAA,LA7JL,LA7JY,LA7XM,LA7YMA,LA8GCA,LA8GGA,LA9ARA,LA9QL,LB1VE,LB2NC
Fet;LA1CQ,LA1JU,LA2KT,LA2NG,LA2TT,LA5EJA,LA6GNA,LA6XFA,LA7KBA,LA8CO,LA9FF,LA9QHA,LA9TOA,LA9YL,LB2VG
