PTM;Toruń (grodzki)
PTO;Toruń (ziemski)
PTU;Tuchola
PWK;Włocławek (grodzki)
PWL;Włocławek (ziemski)
PWO;Wąbrzeźno
PZN;Żnin
RAC;Sochaczew
RBF;Białobrzegi
RCI;Ciechanów
RDL;Siedlce (ziemski)
RED;Siedlce (grodzki)
REN;Zwoleń
RER;Sierpc 
RGI;Garwolin
RGJ;Grójec
RGS;Grodzisk Mazowiecki
RGT;Gostynin
RKE;Kozienice
RLQ;Lipsko
RMA;Mława
RMM;Maków Mazowiecki
RMZ;Mińsk Mazowiecki
RND;Nowy Dwór Mazowiecki
RNW;Legionowo
ROC;Łosice
ROG;Ostrołęka (grodzki)
ROM;Ostrów Mazowiecka
ROO;Otwock
ROR;Ostrołęka (ziemski)
RPA;Piaseczno
RPD;Płock (grodzki)
RPF;Przasnysz
RPG;Przysucha
RPL;Płock (ziemski)
RPN;Płońsk
RPZ;Pruszków
RRA;Radom (ziemski)
RRD;Radom (grodzki)
RUP;Sokołów Podlaski
RUT;Pułtusk 
RWE;Węgrów
RWM;Warszawa
RWX;Wołomin
RWZ;Warszawa Zachód
RYD;Szydłowiec
RYS;Wyszków
RZQ;Żyrardów
RZV;Żuromin
SAN;Sandomierz
SBU;Busko Zdrój
SIC;Kielce (grodzki)
SJE;Jędrzejów
SKI;Kielce (ziemski)
SKW;Kazimierza Wielka
SOK;Końskie
SOS;Ostrowiec Świętokrzyski
SOT;Opatów
SPI;Pińczów
SSH;Starachowice
SSQ;Skarżysko Kamienna
STS;Staszów
SWS;Włoszczowa
UAP;Krapkowice
UBQ;Brzeg
UEY;Kędzierzyn-Koźle
UGY;Głubczyce
UNF;Nysa
UNY;Namysłów
UOJ;Opole (grodzki)
UOP;Opole (ziemski)
UOY;Olesno
UPJ;Prudnik
UTE;Strzelce Opolskie
UUC;Kluczbork
WAL;Kalisz (grodzki)
WCO;Chodzież
WCR;Czarnków (Czarnkowsko - Trzcianecki)
WGB;Gostyń
WGQ;Grodzisk Wielkopolski
WGZ;Gniezno
WJC;Jarocin
WKA;Kalisz (ziemski)
WKF;Kępno
WKH;Koło
WKJ;Konin (grodzki)
WKT;Krotoszyn
WLE;Leszno (grodzki)
WLS;Leszno (ziemski)
WMH;Międzychód
WNN;Konin (ziemski)
WNV;Nowy Tomyśl
WOD;Ostrów Wielkopolski
WOF;Ostrzeszów
